Id,judgingRuleId,judgingRuleName,criteriaName,criteriaDescription,subCriteriaName,subCriteriaDescription,subCriteriaValueType,subCriteriaRangeFrom,subCriteriaRangeTo,criteriaUiLayout,subCriteriaUiPosition
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,ausnützungDerWettkampffläche,ausnützungDerWettkampffläche,integer,1,5,3x3,3
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,präsentationNachAussen,präsentationNachAussen,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,presentation,presentation,gesamteindruck,gesamteindruck,integer,0,100,3x3,9
11111111-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,4
11111111-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,3
11111111-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
11111111-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,difficulty,difficulty,level2,level2,integer,0,10,3x3,3
11111111-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,difficulty,difficulty,level3,level3,integer,0,19,3x3,4
11111111-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,difficulty,difficulty,level4,level4,integer,0,13,3x3,6
